2023-01-25 18:07:28.010 +09:00 [INF] ---------------StartGame----------------
2023-01-25 18:07:28.044 +09:00 [INF] Match Start
2023-01-25 18:07:28.068 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.080 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.096 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.112 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.117 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.120 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.132 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.148 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.154 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.156 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.159 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.180 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.193 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.239 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.258 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.277 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.280 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.313 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.320 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.342 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.346 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.372 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.380 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.382 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.394 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.395 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.397 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.420 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.440 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.455 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.478 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.492 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.505 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.519 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.535 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.549 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.567 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.580 +09:00 [INF] current State : Waiting, Entering
2023-01-25 18:07:28.598 +09:00 [INF] current State : Waiting, Entering
